cafeName	orderByNew	concept	nofConKatsu	WantToGo	OperatingHours	Fee	NearestStation	Area	concept_list
Cafe＆Bar Doll's Cafe (ドールズカフェ)	27	お人形	0.0	0.0	月 06:00 - LAST 火 06:00 - LAST 水 06:00 - LAST	2,500円〜	池袋駅/徒歩3分	Kanto	['お人形']
müül（ミュール）	28	アイドル	0.0	0.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00	2,500円〜	秋葉原駅/徒歩6分	Kanto	['アイドル']
Cafe Lapin	29	うさぎ	0.0	0	月 18:00 - 22:00 火 18:00 - 22:00 水 18:00 - 22:00	1,100円〜	天神駅/徒歩9分	Kyusyu and Okinawa	['うさぎ']
やまとなでしこ	30	学園×清楚	0.0	0	月 17:00 - 27:00 火 17:00 - 27:00 水 17:00 - 27:00	1,100円〜	西鉄福岡（天神）駅/徒歩2分	Kyusyu and Okinawa	['学園', '清楚']
Devil'sにゃんにゃん	31	悪魔	0.0	0	月 21:00 - LAST 火 お休み 水 21:00 - LAST	1,150円〜	阿波富田駅/徒歩12分	Chugoku and Shikoku	['悪魔']
メイドliveカフェにゃんにゃん	32	アイドル×メイド	0.0	0	月 19:00 - 25:00 火 お休み 水 19:00 - 25:00		阿波富田駅/徒歩11分	Chugoku and Shikoku	['アイドル', 'メイド']
ひめなの！	33	お姫様	0.0	0	月 お休み 火 21:00 - LAST 水 21:00 - LAST	1,800円〜	阿波富田駅/徒歩12分	Chugoku and Shikoku	['お姫様']
アラジンシーシャ 名古屋店	34	シーシャ	1.0	1	月 15:00 - 23:30 火 15:00 - 23:30 水 15:00 - 37:30	4,000円	JR名古屋駅	Tokai	['シーシャ']
ヴァンパイアサイド-BAD TRIP-	35	ヴァンパイア×ゴシック	0.0	0	月 15:00 - 23:00 火 15:00 - 23:00 水 15:00 - 23:00	2000円～5000円	阪神線「尼崎駅」から徒歩2分	Kansai	['ヴァンパイア', 'ゴシック']
ディストピア	36	小悪魔	0.0	0.0	月 15:00 - 23:00 火 15:00 - 23:00 水 15:00 - 23:00	¥10,000-	東新宿駅徒歩5分西武新宿駅徒歩7分JR新宿駅徒歩10分	Kanto	['小悪魔']
navy blue（ネイビーブルー）	37	海	0.0	0	月 15:00 - 24:00 火 15:00 - 24:00 水 15:00 - 24:00	2,000円〜	天神駅/徒歩8分	Kyusyu and Okinawa	['海']
Dear My…でぃあまい	38	ヴァンパイア×メイド	0.0	0	月 19:00 - 29:00 火 19:00 - 29:00 水 19:00 - 29:00	1,800円〜	天神駅/徒歩6分	Kyusyu and Okinawa	['ヴァンパイア', 'メイド']
ギャルカフェ あんへる	39	ギャル	0.0	0	月 19:00 - 24:00 火 19:00 - 24:00 水 19:00 - 24:00		西鉄福岡（天神）駅/徒歩3分	Kyusyu and Okinawa	['ギャル']
甘ねこ研究所	40		0.0	0	月 20:00 - 25:00 火 20:00 - 25:00 水 20:00 - 25:00		栄駅/徒歩5分	Tokai	['']
Maid&Shisha LR	41	メイド×シーシャ	0.0	0	月 18:00 - 29:00 火 18:00 - 29:00 水 18:00 - 29:00	3,000円〜	日本橋駅/徒歩6分	Kansai	['メイド', 'シーシャ']
GOGO HEAVEN (ゴーゴーヘブン)	42	悪魔×天使	0.0	0	月 20:00 - 29:00 火 20:00 - 29:00 水 20:00 - 29:00	4,000円〜	青森駅/徒歩15分	Hokkaido and Tohoku	['悪魔', '天使']
Prettyなーすしんどろーむ	43	ナース	0.0	0.0	月 18:00 - LAST 火 18:00 - LAST 水 18:00 - LAST	2,600円〜	西川口駅/徒歩5分	Kanto	['ナース']
